Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Latitude,Longitude
Germany,dessau,40,Good,0,Good,32,Good,1,Good,40,Good,,
Brazil,diadema,137,Unhealthy for Sensitive Groups,3,Good,4,Good,15,Good,137,Unhealthy for Sensitive Groups,,
Poland,dobre miasto,37,Good,0,Good,33,Good,0,Good,37,Good,,
Bulgaria,dobric,43,Good,1,Good,43,Good,1,Good,31,Good,,
Bangladesh,dohar,89,Moderate,3,Good,51,Moderate,3,Good,89,Moderate,,
Colombia,don matias,66,Moderate,2,Good,7,Good,5,Good,66,Moderate,,
Ukraine,donetsk,37,Good,1,Good,37,Good,0,Good,14,Good,,
India,dongargaon,178,Unhealthy,1,Good,39,Good,0,Good,178,Unhealthy,20.97172,80.85077
Chad,dourbali,57,Moderate,2,Good,17,Good,0,Good,57,Moderate,,
France,draveil,57,Moderate,1,Good,20,Good,6,Good,57,Moderate,,
United States of America,east liverpool,43,Good,1,Good,43,Good,4,Good,35,Good,,
Germany,eichstatt,47,Good,1,Good,35,Good,1,Good,47,Good,,
Germany,eisenach,51,Moderate,1,Good,24,Good,4,Good,51,Moderate,,
Mexico,el rosario,110,Unhealthy for Sensitive Groups,2,Good,11,Good,3,Good,110,Unhealthy for Sensitive Groups,,
Ecuador,el triunfo,59,Moderate,1,Good,17,Good,4,Good,59,Moderate,,
Nicaragua,el viejo,86,Moderate,1,Good,18,Good,3,Good,86,Moderate,,
Venezuela (Bolivarian Republic of),el vigia,61,Moderate,1,Good,8,Good,4,Good,61,Moderate,,
Spain,elda,31,Good,1,Good,31,Good,1,Good,21,Good,,
Poland,elk,34,Good,0,Good,34,Good,0,Good,33,Good,,
Germany,emmerich,38,Good,0,Good,32,Good,2,Good,38,Good,,
Belgium,charleroi,58,Moderate,1,Good,25,Good,5,Good,58,Moderate,,
Russian Federation,chelyabinsk 70,31,Good,1,Good,29,Good,0,Good,31,Good,,
United States of America,cheney,32,Good,1,Good,32,Good,1,Good,28,Good,,
India,chhaprauli,158,Unhealthy,3,Good,158,Unhealthy,2,Good,158,Unhealthy,29.20989,77.17454
India,chhindwara,176,Unhealthy,1,Good,34,Good,0,Good,176,Unhealthy,,
Zimbabwe,chipinge,41,Good,2,Good,13,Good,0,Good,41,Good,,
United States of America,clemson,65,Moderate,2,Good,34,Good,7,Good,65,Moderate,,
United States of America,cliffside park,119,Unhealthy for Sensitive Groups,3,Good,10,Good,33,Good,119,Unhealthy for Sensitive Groups,,
Canada,cobourg,30,Good,1,Good,30,Good,2,Good,26,Good,,
United States of America,collingswood,73,Moderate,1,Good,37,Good,5,Good,73,Moderate,,
Uruguay,colonia,52,Moderate,1,Good,11,Good,3,Good,52,Moderate,,
United States of America,columbia heights,52,Moderate,1,Good,42,Good,3,Good,52,Moderate,,
United States of America,cordele,58,Moderate,2,Good,29,Good,3,Good,58,Moderate,,
Argentina,cordoba,41,Good,1,Good,12,Good,4,Good,41,Good,,
Italy,cori,39,Good,2,Good,39,Good,6,Good,39,Good,,
Italy,cornedo vicentino,59,Moderate,2,Good,36,Good,5,Good,59,Moderate,,
Brazil,corrente,54,Moderate,1,Good,12,Good,1,Good,54,Moderate,,
Germany,coswig,67,Moderate,1,Good,40,Good,1,Good,67,Moderate,,
Brazil,criciuma,85,Moderate,2,Good,17,Good,3,Good,85,Moderate,,
Germany,crimmitschau,69,Moderate,1,Good,37,Good,2,Good,69,Moderate,,
United States of America,crofton,51,Moderate,1,Good,42,Good,4,Good,51,Moderate,,
Spain,cullera,34,Good,1,Good,30,Good,1,Good,34,Good,,
Brazil,curuca,42,Good,0,Good,19,Good,0,Good,42,Good,,
India,dadri,178,Unhealthy,4,Good,170,Unhealthy,3,Good,178,Unhealthy,,
Colombia,dagua,39,Good,1,Good,9,Good,3,Good,39,Good,,
Germany,alsfeld,64,Moderate,1,Good,35,Good,2,Good,64,Moderate,,
India,ambad,116,Unhealthy for Sensitive Groups,1,Good,32,Good,0,Good,116,Unhealthy for Sensitive Groups,19.61301,75.78906
Madagascar,ambatondrazaka,20,Good,0,Good,20,Good,0,Good,12,Good,,
Italy,amelia,60,Moderate,1,Good,36,Good,3,Good,60,Moderate,,
Brazil,amontada,39,Good,0,Good,20,Good,0,Good,39,Good,,
Sri Lanka,amparai,62,Moderate,1,Good,37,Good,1,Good,62,Moderate,,
Italy,anagni,56,Moderate,1,Good,38,Good,4,Good,56,Moderate,,
Afghanistan,andarab,104,Unhealthy for Sensitive Groups,0,Good,34,Good,0,Good,104,Unhealthy for Sensitive Groups,,
France,angers,32,Good,1,Good,18,Good,4,Good,32,Good,,
Colombia,anserma,88,Moderate,3,Good,1,Good,6,Good,88,Moderate,,
Madagascar,antsirabe,52,Moderate,1,Good,22,Good,0,Good,52,Moderate,,
,anzio,48,Good,1,Good,39,Good,6,Good,48,Good,,
Italy,aosta,87,Moderate,0,Good,28,Good,1,Good,87,Moderate,,
United States of America,apache junction,48,Good,1,Good,21,Good,12,Good,48,Good,,
United States of America,apopka,71,Moderate,1,Good,8,Good,17,Good,71,Moderate,,
Brazil,aquidaba,17,Good,0,Good,17,Good,0,Good,17,Good,,
Brazil,aracati,22,Good,0,Good,21,Good,0,Good,22,Good,,
India,arani,61,Moderate,0,Good,26,Good,0,Good,61,Moderate,,
Colombia,arauca,52,Moderate,1,Good,8,Good,1,Good,52,Moderate,,
Iran (Islamic Republic of),ardabil,44,Good,1,Good,41,Good,0,Good,44,Good,,
Brazil,engenheiro beltrao,46,Good,1,Good,14,Good,1,Good,46,Good,,
Portugal,estoril,36,Good,1,Good,36,Good,5,Good,17,Good,,
Brazil,extrema,78,Moderate,2,Good,11,Good,5,Good,78,Moderate,,
United States of America,fall river,57,Moderate,2,Good,23,Good,14,Good,57,Moderate,,
United Kingdom of Great Britain and Northern Ireland,farnworth,58,Moderate,1,Good,26,Good,7,Good,58,Moderate,,
Chad,faya,156,Unhealthy,1,Good,29,Good,0,Good,156,Unhealthy,,
Italy,ferrara,68,Moderate,2,Good,27,Good,10,Good,68,Moderate,,
Belgium,fleron,57,Moderate,1,Good,29,Good,4,Good,57,Moderate,,
Brazil,floriano,14,Good,0,Good,14,Good,0,Good,13,Good,,
United States of America,flowing wells,65,Moderate,1,Good,21,Good,6,Good,65,Moderate,,
France,fontainebleau,66,Moderate,1,Good,20,Good,4,Good,66,Moderate,,
India,beawar,221,Very Unhealthy,1,Good,35,Good,0,Good,221,Very Unhealthy,,
India,begowal,151,Unhealthy,3,Good,145,Unhealthy for Sensitive Groups,1,Good,151,Unhealthy,,
Colombia,belen de umbria,90,Moderate,3,Good,1,Good,6,Good,90,Moderate,,
United States of America,bell gardens,123,Unhealthy for Sensitive Groups,4,Good,3,Good,41,Good,123,Unhealthy for Sensitive Groups,,
United States of America,bellefontaine neighbors,54,Moderate,1,Good,40,Good,4,Good,54,Moderate,,
India,belonia,74,Moderate,4,Good,39,Good,2,Good,74,Moderate,23.25178,91.45407
Côte d'Ivoire,beoumi,33,Good,1,Good,19,Good,0,Good,33,Good,,
Somalia,berbera,90,Moderate,1,Good,24,Good,0,Good,90,Moderate,,
Germany,bernau,39,Good,1,Good,35,Good,1,Good,39,Good,,
Brazil,betim,91,Moderate,2,Good,4,Good,9,Good,91,Moderate,,
India,bhadrachalam,96,Moderate,1,Good,16,Good,3,Good,96,Moderate,,
India,bhadravati,39,Good,0,Good,21,Good,0,Good,39,Good,,
India,bhitarwar,230,Very Unhealthy,1,Good,46,Good,0,Good,230,Very Unhealthy,,
India,bhongir,98,Moderate,1,Good,25,Good,1,Good,98,Moderate,,
Poland,bialystok,54,Moderate,1,Good,32,Good,1,Good,54,Moderate,,
Viet Nam,bien hoa,83,Moderate,2,Good,40,Good,2,Good,83,Moderate,,
Brazil,biguacu,96,Moderate,3,Good,13,Good,6,Good,96,Moderate,,
India,bilasipara,50,Good,2,Good,41,Good,0,Good,50,Good,,
India,bilaspur,111,Unhealthy for Sensitive Groups,2,Good,110,Unhealthy for Sensitive Groups,0,Good,111,Unhealthy for Sensitive Groups,31.33027,76.75663
Ukraine,bilopillya,36,Good,1,Good,36,Good,0,Good,10,Good,,
Belgium,binche,57,Moderate,1,Good,25,Good,5,Good,57,Moderate,,
Romania,bocsa,51,Moderate,1,Good,36,Good,0,Good,51,Moderate,,
France,bois guillaume,55,Moderate,1,Good,30,Good,3,Good,55,Moderate,,
United States of America,bolingbrook,41,Good,2,Good,30,Good,9,Good,41,Good,,
Brazil,bom jesus do galho,45,Good,1,Good,12,Good,2,Good,45,Good,,
Brazil,bom jesus do itabapoana,58,Moderate,2,Good,3,Good,4,Good,58,Moderate,,
France,bondues,45,Good,1,Good,26,Good,5,Good,45,Good,,
Netherlands,borculo,31,Good,0,Good,31,Good,2,Good,19,Good,,
Italy,bra,104,Unhealthy for Sensitive Groups,2,Good,22,Good,6,Good,104,Unhealthy for Sensitive Groups,,
Austria,bregenz,41,Good,1,Good,30,Good,5,Good,41,Good,,
,brigantine,78,Moderate,1,Good,63,Moderate,1,Good,78,Moderate,,
United Kingdom of Great Britain and Northern Ireland,brighton,28,Good,1,Good,28,Good,4,Good,22,Good,,
Italy,brindisi,62,Moderate,1,Good,62,Moderate,1,Good,47,Good,,
Australia,broken hill,126,Unhealthy for Sensitive Groups,0,Good,15,Good,0,Good,126,Unhealthy for Sensitive Groups,,
Cameroon,foumbot,122,Unhealthy for Sensitive Groups,4,Good,12,Good,2,Good,122,Unhealthy for Sensitive Groups,,
Italy,frattaminore,61,Moderate,1,Good,61,Moderate,3,Good,59,Moderate,,
Denmark,frederiksvaerk,37,Good,0,Good,37,Good,0,Good,20,Good,,
Germany,friedrichsthal,45,Good,1,Good,33,Good,3,Good,45,Good,,
Germany,frondenberg,44,Good,1,Good,33,Good,2,Good,44,Good,,
United States of America,fullerton,114,Unhealthy for Sensitive Groups,4,Good,4,Good,33,Good,114,Unhealthy for Sensitive Groups,,
Colombia,funza,116,Unhealthy for Sensitive Groups,3,Good,5,Good,13,Good,116,Unhealthy for Sensitive Groups,,
Pakistan,garhi yasin,186,Unhealthy,1,Good,115,Unhealthy for Sensitive Groups,1,Good,186,Unhealthy,,
Niger,gaya,45,Good,1,Good,24,Good,0,Good,45,Good,24.79686,85.00385
Spain,girona,64,Moderate,1,Good,40,Good,1,Good,64,Moderate,,
Ghana,duayaw nkwanta,51,Moderate,1,Good,17,Good,0,Good,51,Moderate,,
Republic of Moldova,dubasari,34,Good,1,Good,34,Good,0,Good,24,Good,,
Ethiopia,dubti,152,Unhealthy,1,Good,34,Good,0,Good,152,Unhealthy,,
United States of America,dunedin,63,Moderate,1,Good,32,Good,4,Good,63,Moderate,,
United States of America,durant,133,Unhealthy for Sensitive Groups,1,Good,23,Good,2,Good,133,Unhealthy for Sensitive Groups,,
Brazil,ecoporanga,38,Good,1,Good,16,Good,1,Good,38,Good,,
United States of America,edwardsville,56,Moderate,1,Good,40,Good,4,Good,56,Moderate,,
Azerbaijan,yevlax,64,Moderate,1,Good,44,Good,0,Good,64,Moderate,,
Japan,yokaichiba,45,Good,1,Good,45,Good,1,Good,42,Good,,
Malta,zabbar,51,Moderate,1,Good,46,Good,1,Good,51,Moderate,,
Mexico,zacatlan,166,Unhealthy,3,Good,6,Good,9,Good,166,Unhealthy,,
Republic of North Macedonia,zelino,88,Moderate,1,Good,43,Good,0,Good,88,Moderate,,
Kazakhstan,zhanakorgan,90,Moderate,1,Good,50,Good,0,Good,90,Moderate,,
Russian Federation,zheleznogorsk,42,Good,1,Good,33,Good,0,Good,42,Good,,
China,zhenlai,66,Moderate,2,Good,66,Moderate,0,Good,49,Good,,
Russian Federation,zherdevka,37,Good,1,Good,36,Good,0,Good,37,Good,,
Mexico,zinacatepec,76,Moderate,2,Good,15,Good,5,Good,76,Moderate,,
Czechia,zlin,71,Moderate,1,Good,40,Good,1,Good,71,Moderate,,
Ukraine,zmiyiv,52,Moderate,1,Good,35,Good,0,Good,52,Moderate,,
United Kingdom of Great Britain and Northern Ireland,wigston,34,Good,1,Good,34,Good,3,Good,18,Good,,
Austria,wolfsberg,66,Moderate,1,Good,38,Good,1,Good,66,Moderate,,
China,xinxiang,178,Unhealthy,6,Good,172,Unhealthy,10,Good,178,Unhealthy,,
Argentina,yacuiba,12,Good,0,Good,11,Good,0,Good,12,Good,,
Thailand,yala,53,Moderate,1,Good,35,Good,0,Good,53,Moderate,,
Ethiopia,wendo,53,Moderate,1,Good,17,Good,0,Good,53,Moderate,,
United States of America,west seneca,88,Moderate,2,Good,9,Good,16,Good,88,Moderate,,
Netherlands,westervoort,44,Good,1,Good,22,Good,6,Good,44,Good,,
United Kingdom of Great Britain and Northern Ireland,whitefield,34,Good,1,Good,34,Good,3,Good,18,Good,,
Kazakhstan,ilyich,161,Unhealthy,1,Good,56,Moderate,0,Good,161,Unhealthy,,
United States of America,indianapolis,71,Moderate,2,Good,17,Good,19,Good,71,Moderate,,
Germany,ingelheim,71,Moderate,2,Good,33,Good,5,Good,71,Moderate,,
Greece,ioannina,69,Moderate,1,Good,41,Good,0,Good,69,Moderate,,
United Republic of Tanzania,ipinda,24,Good,1,Good,17,Good,0,Good,24,Good,,
Chile,iquique,50,Good,2,Good,6,Good,8,Good,50,Good,,
Japan,isesaki,74,Moderate,1,Good,74,Moderate,1,Good,67,Moderate,,
Russian Federation,islamey,43,Good,1,Good,41,Good,1,Good,43,Good,,
Brazil,itaituba,26,Good,1,Good,4,Good,0,Good,26,Good,,
India,itanagar,52,Moderate,1,Good,28,Good,0,Good,52,Moderate,,
Brazil,itapolis,26,Good,1,Good,6,Good,1,Good,26,Good,,
Czechia,jablonec,73,Moderate,1,Good,40,Good,1,Good,73,Moderate,,
India,jalgaon,102,Unhealthy for Sensitive Groups,1,Good,39,Good,0,Good,102,Unhealthy for Sensitive Groups,21.00292,75.56602
India,jalgaon,102,Unhealthy for Sensitive Groups,1,Good,39,Good,0,Good,102,Unhealthy for Sensitive Groups,17.74026,73.19087
India,jamkhandi,96,Moderate,1,Good,33,Good,1,Good,96,Moderate,16.50461,75.29146
India,janakpur road,82,Moderate,2,Good,47,Good,1,Good,82,Moderate,,
Cuba,jaruco,81,Moderate,1,Good,25,Good,2,Good,81,Moderate,,
India,jawad,166,Unhealthy,1,Good,36,Good,0,Good,166,Unhealthy,,
Brazil,jequitinhonha,25,Good,0,Good,7,Good,1,Good,25,Good,,
Germany,jever,49,Good,1,Good,30,Good,3,Good,49,Good,,
China,jiangmen,98,Moderate,3,Good,30,Good,9,Good,98,Moderate,,
China,jinxiang,124,Unhealthy for Sensitive Groups,3,Good,124,Unhealthy for Sensitive Groups,2,Good,111,Unhealthy for Sensitive Groups,,
China,jishou,70,Moderate,2,Good,66,Moderate,1,Good,70,Moderate,,
China,jishui,186,Unhealthy,4,Good,186,Unhealthy,4,Good,155,Unhealthy,,
