Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,city,city_ascii,Latitude,Longitude,country,iso2,iso3,admin_name,capital,population,id
India,Kanigiri,33,Good,1,Good,33,Good,0,Good,33,Good,Kanigiri,Kanigiri,15.4,79.5167,India,IN,IND,Andhra Pradesh,,37420.0,1356020350.0
Zimbabwe,Kariba,62,Moderate,2,Good,15,Good,0,Good,62,Moderate,Kariba,Kariba,-16.5167,28.8,Zimbabwe,ZW,ZWE,Mashonaland West,,27600.0,1716563536.0
Sudan,Khartoum,77,Moderate,2,Good,46,Good,1,Good,77,Moderate,Khartoum,Khartoum,15.6031,32.5265,Sudan,SD,SDN,Khartoum,primary,7869000.0,1729268475.0
Malaysia,Kluang,80,Moderate,1,Good,38,Good,0,Good,80,Moderate,Kluang,Kluang,2.0383,103.3179,Malaysia,MY,MYS,Johor,,323762.0,1458692921.0
Japan,Kobayashi,27,Good,0,Good,27,Good,1,Good,22,Good,Kobayashi,Kobayashi,31.9967,130.9725,Japan,JP,JPN,Miyazaki,,43114.0,1392148091.0
Philippines,Tagoloan,54,Moderate,1,Good,18,Good,4,Good,54,Moderate,Tagoloan,Tagoloan,8.53,124.75,Philippines,PH,PHL,Misamis Oriental,,80319.0,1608502082.0
Philippines,Tagoloan,54,Moderate,1,Good,18,Good,4,Good,54,Moderate,Tagoloan,Tagoloan,8.1333,124.2667,Philippines,PH,PHL,Lanao del Norte,,15091.0,1608053612.0
Philippines,Tagoloan,54,Moderate,1,Good,18,Good,4,Good,54,Moderate,Tagoloan,Tagoloan,8.1092,124.4392,Philippines,PH,PHL,Lanao del Sur,,12602.0,1608551661.0
Philippines,Tagum,91,Moderate,2,Good,6,Good,4,Good,91,Moderate,Tagum,Tagum,7.4478,125.8078,Philippines,PH,PHL,Davao del Norte,admin,296202.0,1608755366.0
India,Talipparamba,65,Moderate,1,Good,20,Good,2,Good,65,Moderate,Talipparamba,Talipparamba,12.0368,75.3601,India,IN,IND,Kerala,,44247.0,1356781430.0
